"","name","id","class","mass","fall_found","year","lat","long"
"684","Sayh al Uhaymir ",56207,"H4",176.2,"Found",2011,20.50483,56.83407
"685","Sayh al Uhaymir ",56208,"H5",130.9,"Found",2011,20.4247,56.65013
"686","Sayh al Uhaymir ",56209,"L6",89.7,"Found",2011,20.77045,57.08912
"687","Jiddat al Harasis ",56215,"L4",390.8,"Found",2011,19.6973,56.706
"688","Jiddat al Harasis ",56216,"L5",516.1,"Found",2011,19.8924,56.66768
"689","Jiddat al Harasis ",56217,"H6",548.7,"Found",2011,19.90538,56.6547
"690","Jiddat al Harasis ",56218,"L6",1.6,"Found",2011,19.83282,55.6858
"691","Jiddat al Harasis ",56219,"H5",12175,"Found",2011,19.82562,55.684
"692","Jiddat al Harasis ",56220,"H5",2637,"Found",2011,19.77842,55.59662
"693","Jiddat al Harasis ",56221,"H4-6",1015,"Found",2011,19.77022,55.594
"694","Jiddat al Harasis ",56222,"H4",487.4,"Found",2011,19.78042,55.5979
"695","Jiddat al Harasis ",56223,"H5",1979,"Found",2011,19.76167,55.59152
"696","Jiddat al Harasis ",56224,"L6",810.6,"Found",2011,19.71987,55.64522
"697","Jiddat al Harasis ",56225,"H5",2399,"Found",2011,19.65,55.7194
"698","Jiddat al Harasis ",56226,"H5",4.94,"Found",2011,19.66055,55.70212
"699","Jiddat al Harasis ",56227,"H5",1.48,"Found",2011,19.66002,55.70155
"700","Jiddat al Harasis ",56228,"H5",22.6,"Found",2011,19.66163,55.69758
"701","Jiddat al Harasis ",56229,"H5",19.36,"Found",2011,19.66393,55.69107
"702","Jiddat al Harasis ",56230,"H5",22.2,"Found",2011,19.66395,55.69107
"703","Jiddat al Harasis ",56231,"H5",16.38,"Found",2011,19.6658,55.6847
"704","Jiddat al Harasis ",56232,"H5",198.4,"Found",2011,19.66767,55.68198
"705","Jiddat al Harasis ",56233,"H5",84.1,"Found",2011,19.66892,55.68097
"706","Jiddat al Harasis ",56234,"H5",26.1,"Found",2011,19.66883,55.68092
"707","Jiddat al Harasis ",56235,"H5",293.2,"Found",2011,19.74087,55.60467
"708","Jiddat al Harasis ",56236,"H5",35.3,"Found",2011,19.7548,55.59118
"709","Jiddat al Harasis ",56237,"H5",30.9,"Found",2011,19.74373,55.57045
"710","Jiddat al Harasis ",56238,"H4",1.51,"Found",2011,19.4996,55.5247
"711","Jiddat al Harasis ",56239,"H4",148.3,"Found",2011,19.50785,55.51785
"712","Jiddat al Harasis ",56240,"H4",0.46,"Found",2011,19.50883,55.51805
"713","Jiddat al Harasis ",56241,"H4",24.4,"Found",2011,19.47695,55.48955
"714","Jiddat al Harasis ",56242,"H5",11.67,"Found",2011,19.44323,55.46112
"715","Jiddat al Harasis ",56243,"H6",632.1,"Found",2011,19.4305,55.44352
"716","Jiddat al Harasis ",56244,"H5",27.6,"Found",2011,19.48505,55.44432
"717","Jiddat al Harasis ",56245,"L6",566,"Found",2011,19.05173,55.56022
"718","Jiddat al Harasis ",56246,"L6",515.5,"Found",2011,19.05345,55.55842
"719","Jiddat al Harasis ",56247,"H5",87.8,"Found",2011,19.05548,55.55645
"720","Jiddat al Harasis ",56248,"L6",317.1,"Found",2011,19.06243,55.55642
"721","Jiddat al Harasis ",56249,"L6",93.6,"Found",2011,19.06683,55.55342
"722","Jiddat al Harasis ",56250,"H4-5",1900,"Found",2011,19.12782,55.55643
"723","Jiddat al Harasis ",56251,"L6",13.7,"Found",2011,19.204,55.40347
"724","Jiddat al Harasis ",56252,"L6",93.2,"Found",2011,19.20743,55.4016
"725","Jiddat al Harasis ",56253,"H6",914.2,"Found",2011,19.18835,55.3866
"726","Jiddat al Harasis ",56254,"H5",120.1,"Found",2011,19.20295,55.32853
"727","Jiddat al Harasis ",56255,"H5",39.4,"Found",2011,19.20333,55.35002
"728","Jiddat al Harasis ",56256,"H4",1.36,"Found",2011,19.20302,55.35093
"729","Jiddat al Harasis ",56257,"H5",185,"Found",2011,19.25277,55.34193
"730","Jiddat al Harasis ",56258,"H5",347.6,"Found",2011,19.28385,55.34087
