"","name","class","mass","fall_found","year","lat","long","continent","country","iso3","masscategory"
"8446","ramlat as sahmah","l",77.2,"Found",2005,20.76775,56.41513,"Asia","Oman","OMN","10g to 100g"
"8447","ramlat as sahmah","ll",96.62,"Found",2005,20.01798,56.41798,"Asia","Oman","OMN","10g to 100g"
"8448","ramlat as sahmah","l",77.7,"Found",2005,20.59888,56.14967,"Asia","Oman","OMN","10g to 100g"
"8449","ramlat as sahmah","h",43.14,"Found",2005,20.58513,56.14733,"Asia","Oman","OMN","10g to 100g"
"8450","ramlat as sahmah","h",21.63,"Found",2005,20.56322,56.19473,"Asia","Oman","OMN","10g to 100g"
"8451","ramlat as sahmah","h",2841,"Found",2005,20.8393,56.41533,"Asia","Oman","OMN","greater than 100g"
"8452","ramlat as sahmah","r",167.67,"Found",2005,20.00237,56.38473,"Asia","Oman","OMN","greater than 100g"
"8453","ramlat as sahmah","h",31.1,"Found",2005,20.01577,56.47787,"Asia","Oman","OMN","10g to 100g"
"8454","ramlat as sahmah","l",7171,"Found",2005,20.0534,56.46612,"Asia","Oman","OMN","greater than 100g"
"8455","ramlat as sahmah","h",522,"Found",2005,20.04812,56.48325,"Asia","Oman","OMN","greater than 100g"
"8456","ramlat as sahmah","r",183.97,"Found",2005,20.00553,56.3815,"Asia","Oman","OMN","greater than 100g"
"8457","ramlat as sahmah","h",107.8,"Found",2005,20.02347,56.46378,"Asia","Oman","OMN","greater than 100g"
"8458","ramlat as sahmah","l",34.27,"Found",2005,20.04738,56.4866,"Asia","Oman","OMN","10g to 100g"
"8459","ramlat as sahmah","h",58.44,"Found",2005,20.03788,56.4741,"Asia","Oman","OMN","10g to 100g"
"8460","ramlat as sahmah","h",97.55,"Found",2005,20.04637,56.33072,"Asia","Oman","OMN","10g to 100g"
"8461","ramlat as sahmah","l",243.4,"Found",2005,20.2189,56.46167,"Asia","Oman","OMN","greater than 100g"
"8462","sayh al uhaymir","h",720.2,"Found",2005,21.00345,57.15368,"Asia","Oman","OMN","greater than 100g"
"8463","sayh al uhaymir","l",369.1,"Found",2005,20.91022,56.90228,"Asia","Oman","OMN","greater than 100g"
"8464","sayh al uhaymir","h",120.81,"Found",2005,20.91422,56.8861,"Asia","Oman","OMN","greater than 100g"
"8465","sayh al uhaymir","l",455.7,"Found",2005,20.91212,56.84697,"Asia","Oman","OMN","greater than 100g"
"8466","sayh al uhaymir","l",42.94,"Found",2005,21.00572,57.03185,"Asia","Oman","OMN","10g to 100g"
"8467","sayh al uhaymir","l",212.28,"Found",2005,20.0093,56.50733,"Asia","Oman","OMN","greater than 100g"
"8468","sayh al uhaymir","h",81.14,"Found",2005,19.99733,56.5352,"Asia","Oman","OMN","10g to 100g"
"8469","sayh al uhaymir","h",410.31,"Found",2005,19.99653,56.5261,"Asia","Oman","OMN","greater than 100g"
"8470","sayh al uhaymir","h",1212.5,"Found",2005,19.99702,56.51212,"Asia","Oman","OMN","greater than 100g"
"8471","sayh al uhaymir","h",293.6,"Found",2005,20.04303,56.57788,"Asia","Oman","OMN","greater than 100g"
"8472","sayh al uhaymir","h",19.46,"Found",2005,20.27962,56.50845,"Asia","Oman","OMN","10g to 100g"
"8473","sayh al uhaymir","l",59.8,"Found",2005,20.26508,56.503,"Asia","Oman","OMN","10g to 100g"
"8474","sayh al uhaymir","h",75.93,"Found",2005,20.884,56.99377,"Asia","Oman","OMN","10g to 100g"
"8475","sayh al uhaymir","ll",188.8,"Found",2005,20.92243,56.88685,"Asia","Oman","OMN","greater than 100g"
"8476","sayh al uhaymir","h",81.36,"Found",2005,20.86885,56.66468,"Asia","Oman","OMN","10g to 100g"
